size_D1, size_D2, size_Overlap, costs, group_distributions, group_query, classic, ours, random
100, 100, 20, [2, 1], [[50, 50], [50, 50]], 5, 8.5, 7.6, 16.8
100, 100, 20, [2, 1], [[50, 50], [50, 50]], 10, 16.1, 18.0, 33.6
100, 100, 20, [2, 1], [[50, 50], [50, 50]], 20, 44.7, 47.6, 87.6
100, 100, 20, [2, 1], [[50, 50], [50, 50]], 30, 77.3, 89.7, 160.2
100, 100, 20, [2, 1], [[50, 50], [50, 50]], 40, 138.8, 133.4, 288.2
100, 100, 20, [2, 1], [[50, 50], [50, 50]], 50, 352.4, 190.7, 776.0

100, 100, 30, [2, 1], [[50, 50], [50, 50]], 5, 8.5, 6.9, 16.4
100, 100, 30, [2, 1], [[50, 50], [50, 50]], 10, 19.2, 17.6, 35.2
100, 100, 30, [2, 1], [[50, 50], [50, 50]], 20, 46.1, 50.0, 91.0
100, 100, 30, [2, 1], [[50, 50], [50, 50]], 30, 77.9, 80.1, 166.2
100, 100, 30, [2, 1], [[50, 50], [50, 50]], 40, 134.9, 141.1, 238.4
100, 100, 30, [2, 1], [[50, 50], [50, 50]], 50, 401.0, 185.7, 720.4
